"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"PLOD1",0.0125344977565235,0.112210896232755,0.00405829332532497,0,0,0.107004836640047,0.0326779001028886,0.0506072874493927,0
"MFN2",0.0983811570962344,0.229678007512444,0.0903951674138494,0.0899802784181986,0.0998572520184146,0.105137101360139,0.0822895152502502,0,0
"MIIP",0.201295324709229,0.409858291057421,0.187758863843428,0.18464735057603,0.263162293090814,0.473384350656275,0.0751144696224511,0.484439542778595,0
"TNFRSF8",0.00468384074941452,0.0959833759723827,0.00599957043075716,0,0,0.3993656544784,0,0,0.816593173281071
"TNFRSF1B",0.288290701460192,1.86127752291728,0.445460207808437,0.25315256481785,0.482706117056726,2.33514205441208,0.835596813260278,0.520842415387338,0.0866738894907909
"VPS13D",0.0794626555618788,0.112817620432149,0.141667757040607,0.0507435459923885,0.0915639127815086,0.0414703390240738,0.0909189777828539,0.184481987253709,0
"DHRS3",0.166074882872199,0.0204624482081129,0.120810014317681,0,0.074503065725354,0.0788526084971021,0.320914746723727,0.169010982649999,0
"PRDM2",0.218699086235077,0.270265095450578,0.439657527282508,0.422026399422559,0.594673521211676,0.218600506141483,0.323573048004888,0.180066786085669,0
"TMEM51",0,0.0401258231923518,0,0,0,0.0189700046286811,0,0.0789141414141414,0
"RP3-467K16.4",0,0,0.00396221630531254,0,0.0412835692900518,0,0.0636253737990711,0,0
"EFHD2",0.228013278030995,2.31943713124842,0.409979322087523,0.372393858657293,0.939225159955607,2.5738585332712,3.81674178667438,1.82163888345328,0.173347778981582
"CASP9",0.0427376805347591,0.0429341864313545,0.0204301419497219,0.157741040347095,0.0327435076261477,0.10457970604214,0.0921498383533966,0.156013726359936,0
"DNAJC16",0.0572131495897513,0.0149443236476084,0.0783950655567104,0.0290216959485545,0.0171972002957918,0,0.0665096825677844,0,0
"AGMAT",0.124379827783434,0.00604536806921221,0.100630428880874,0.0639277775884599,0.039997964067511,0.0137113272016278,0,0,0
"DDI2",0.0387361567979886,0.0304162053054729,0.306494654870819,0.088316392936329,0.099260927593759,0.0732274152028232,0.0702818841239443,0.0527515192437542,0
"PLEKHM2",0.0224059013842417,0.184570568657522,0.0269039214574076,0.0223990697512692,0.018842611435204,0.0814885824258731,0.0690801029474794,0.106837606837607,0
"FBLIM1",0.0305798855415526,0.0243121936002176,0.0480505563383959,0.0522283553152206,0.0474044141606111,0.0635142571480771,0.0771235287872827,0.0945221750649159,0
"RP11-169K16.9",0.283462198930765,0.283024950095714,0.225265203325837,0.376429281693778,0.229081885962325,0.239167927738203,0.0701827510874416,0.229027300044404,0
"SPEN",0.0981169648086399,0.173015497788324,0.147814734606735,0.13628518048458,0.0896115493502021,0.123312444831992,0.159473261020629,0.0979889251499499,0
"ZBTB17",0.0539708925258891,0.0989864605280914,0.0624401999206984,0.073840169680923,0.121177783989735,0.100206925084545,0.0260987576991335,0.0371360665478313,0
"ARHGEF19",0.0197342596278202,0,0.0566329103870499,0.0403490950341594,0.0179471027094741,0,0.0324527812033491,0,0
"RSG1",0.0226927876420196,0,0.0142766878378917,0.00592897561530909,0,0.0197784027753055,0,0,0
"FBXO42",0.0568439202146958,0.127484357776216,0.0712357853355482,0.0690147749642305,0.097440653730034,0.180414827474596,0.218001815470742,0.252162571217001,0
"SZRD1",0.363558983300742,0.437442165719458,0.417940918508545,0.239865435337128,0.527402180076042,0.61833279968615,0.369075197838846,0.272701491673052,0
"SPATA21",0.00575340889477015,0.00672381008732885,0.00489826787451421,0,0,0,0.0303605313092979,0,0
"NECAP2",0.978359838261098,0.693103322222828,1.16768091416404,0.823214497331477,0.863152683489449,0.935698088374996,1.11212486330967,0.640760588066429,0.0866738894907909
"RP4-798A10.2",0.0107711255117456,0.0412295552340782,0,0,0.0166955499681115,0,0.0518415146241667,0,0
"RP4-798A10.7",0.0106813121008373,0,0.00512631759177903,0,0,0,0,0,0
"RP4-798A10.4",0,0,0.00619866728653339,0.0224235154129677,0,0.0179078604762775,0.034445343850645,0,0
"NBPF1",0.0914897501296016,0.0588737746174705,0.0564422115158931,0.0521396765186183,0.039175946986279,0.0653270870980088,0,0,0
"CROCCP2",0.15545920908384,0.185809302700503,0.248191420683802,0.379192948308701,0.25877197397461,0.104072826406657,0.391023393192115,0.151481329640284,0
"CROCC",0.0364500625495519,0.0473979252913785,0.0780592734445314,0.00858021471129293,0.0262984357465881,0.0297851925347799,0,0,0
"RP11-108M9.4",0.162270048446351,0.335227078898628,0.184069188538639,0.290108927266874,0.068383898546596,0.195677738877359,0.264436333341054,0.16145043409069,0
"RP11-108M9.6",0.080634855920715,0.00573676070364812,0.0864702623156136,0,0.0398537842111643,0.0294789827364763,0.0408588530919937,0,0
