"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMEM170B.1",3.10282967945981e-06,3.39718158609394,0.062,0.004,0.0425522062241118,"7","TMEM170B"
"C9orf37",3.12266111338437e-06,1.00651708287048,0.125,0.016,0.0428241745089532,"7","C9orf37"
"SNRPD1.1",3.13177588152739e-06,0.937874029127918,0.656,0.209,0.0429491744392666,"7","SNRPD1"
"SCARB1.1",3.13200472090275e-06,3.15375067665832,0.062,0.004,0.0429523127424603,"7","SCARB1"
"PITRM1",3.20271820983377e-06,1.51936997452521,0.156,0.023,0.0439220775296603,"7","PITRM1"
"CCT4.2",3.21203700312967e-06,0.542130649112985,0.656,0.203,0.0440498754609202,"7","CCT4"
"ANKS1A.1",3.221117127472e-06,2.87329787032492,0.062,0.004,0.044174400286151,"7","ANKS1A"
"RASGEF1A",3.221117127472e-06,2.91553956705393,0.062,0.004,0.044174400286151,"7","RASGEF1A"
"ROBO3.1",3.221117127472e-06,2.84337395901685,0.062,0.004,0.044174400286151,"7","ROBO3"
"GATM.1",3.221117127472e-06,2.53276397891451,0.062,0.004,0.044174400286151,"7","GATM"
"BOLA2B",3.221117127472e-06,2.71292148005809,0.062,0.004,0.044174400286151,"7","BOLA2B"
"RP11-413H22.2",3.221117127472e-06,2.56852166256431,0.062,0.004,0.044174400286151,"7","RP11-413H22.2"
"SMARCB1.2",3.26061390687506e-06,0.871707892088367,0.438,0.124,0.0447160591188846,"7","SMARCB1"
"CD3D.7",3.34585937675098e-06,-4.55680202475192,0.156,0.525,0.045885115492763,"7","CD3D"
"UBE2M",3.38312176162961e-06,1.96962117860265,0.156,0.024,0.0463961318389885,"7","UBE2M"
"GUSB.4",3.42301095006646e-06,0.660169613148284,0.344,0.086,0.0469431721692114,"7","GUSB"
"ARHGEF40.7",3.43116722741047e-06,1.46481066398864,0.25,0.053,0.0470550273567071,"7","ARHGEF40"
"PHPT1.5",3.43762516637194e-06,0.57078204880065,0.531,0.16,0.0471435915316248,"7","PHPT1"
"COMMD4",3.44403780005532e-06,0.844712011526967,0.281,0.062,0.0472315343899586,"7","COMMD4"
"PADI4.2",3.60018989658387e-06,1.77584357865252,0.156,0.024,0.0493730042417513,"7","PADI4"
"EIF4G1.4",3.69957338365469e-06,1.67254851934274,0.188,0.033,0.0507359493834404,"7","EIF4G1"
"ATP5B.4",3.7991919364598e-06,0.947143080014989,0.844,0.401,0.0521021182166097,"7","ATP5B"
"ETNK1",3.81341344591555e-06,1.03969749280826,0.25,0.052,0.0522971519972858,"7","ETNK1"
"SNRPG.1",3.8361613520315e-06,0.762124973238913,0.469,0.135,0.0526091167817599,"7","SNRPG"
"DCTN6.2",3.87719533923025e-06,1.1936982073247,0.312,0.075,0.0531718568822036,"7","DCTN6"
"DDIT4.5",3.8949596764228e-06,0.677968666338615,0.656,0.217,0.0534154770024622,"7","DDIT4"
"MTIF2.1",3.92663243609134e-06,0.458976084856999,0.156,0.024,0.0538498372285566,"7","MTIF2"
"ZNF467.5",3.98430926145448e-06,1.89006652379705,0.188,0.033,0.0546408172115867,"7","ZNF467"
"CTSB.7",4.03370022194613e-06,0.313844487910444,0.625,0.195,0.0553181648437693,"7","CTSB"
"PRKCD.4",4.05607676940252e-06,0.951032489658283,0.25,0.052,0.0556250368155861,"7","PRKCD"
"JKAMP.1",4.14751927942946e-06,1.06407356334252,0.219,0.042,0.0568790793980957,"7","JKAMP"
"IRF4.1",4.18696968798526e-06,3.09734461141208,0.094,0.01,0.0574201023010299,"7","IRF4"
"PTPN18.4",4.187277102528e-06,1.01037682809679,0.469,0.138,0.057424318184069,"7","PTPN18"
"FAM26F.7",4.27739601257269e-06,0.842947853110696,0.625,0.224,0.0586602089164219,"7","FAM26F"
"TMED10.3",4.28031605144137e-06,1.00382236151279,0.562,0.186,0.058700254329467,"7","TMED10"
